,c1_group_id,c1_artifact_id,c1_version,c2_version
1012,org.springframework.data,spring-data-mongodb,1.0.2.RELEASE,1.0.3.RELEASE
1013,com.jolbox,bonecp,0.7.1-rc5,0.7.1.RELEASE
1022,org.hibernate,hibernate-validator,4.1.0.CR1,4.1.0.Final
1061,org.apache.jackrabbit,jackrabbit-core,2.1.2,2.1.3
1062,org.apache.mina,mina-core,2.0.0-M6,2.0.0-RC1
1064,com.hp.hpl.jena,jena,2.6.2,2.6.3
1067,org.hibernate,hibernate-core,3.3.1.GA,3.3.2.GA
1069,org.codehaus.plexus,plexus-spring,1.1,1.2
1070,org.apache.camel,camel-web,2.0-M3,2.0.0
1071,org.apache.camel,camel-web,2.0.0,2.1.0
1103,org.hibernate,hibernate-validator,4.1.0.CR1,4.1.0.Final
1107,org.apache.camel,camel-web,2.0-M3,2.0.0
1115,org.apache.directory.server,apacheds-core-integ,1.5.5,1.5.6
1148,org.hibernate,hibernate-core,3.3.1.GA,3.3.2.GA
1155,org.hibernate,hibernate-core,3.3.1.GA,3.3.2.GA
1157,org.apache.jackrabbit,jackrabbit-core,2.1.2,2.1.3
1163,org.sonatype.appcontext,appcontext,1.0,2.0
1164,org.hibernate,hibernate-validator,4.1.0.CR1,4.1.0.Final
1165,com.hp.hpl.jena,jena,2.6.2,2.6.3
1166,org.sonatype.plexus,plexus-restlet-bridge,1.17,1.18
1167,org.subethamail,subethasmtp,3.1.6,3.1.7
1169,org.hibernate,hibernate-core,3.6.7.Final,3.6.8.Final
1173,org.hibernate,hibernate-core,3.3.1.GA,3.3.2.GA
1175,org.apache.mina,mina-core,2.0.0-M6,2.0.0-RC1
1179,org.apache.directory.shared,shared-ldap-model,1.0.0-M7,1.0.0-M8
1180,org.apache.shiro,shiro-core,1.0.0-incubating,1.1.0
1194,org.apache.directory.server,apacheds-test-framework,1.5.7,2.0.0-M1
1204,org.apache.shiro,shiro-core,1.0.0-incubating,1.1.0
1205,org.skife.config,config-magic,0.8,0.9
1206,org.apache.directory.shared,shared-ldap-model,1.0.0-M7,1.0.0-M8
1207,org.apache.directory.server,apacheds-server-annotations,2.0.0-M2,2.0.0-M3
1208,org.hibernate,hibernate-validator,4.1.0.CR1,4.1.0.Final
1209,org.skife.config,config-magic,0.8,0.9
1216,org.hibernate,hibernate-core,3.3.1.GA,3.3.2.GA
1218,org.skife.config,config-magic,0.13,0.14
1223,org.sonatype.plexus,plexus-restlet-bridge,1.17,1.18
1224,org.apache.shiro,shiro-core,1.0.0-incubating,1.1.0
1225,org.hibernate,hibernate-core,3.6.7.Final,3.6.8.Final
1228,org.hibernate,hibernate-core,3.3.1.GA,3.3.2.GA
1229,org.apache.mina,mina-core,2.0.0-M6,2.0.0-RC1
1230,org.skife.config,config-magic,0.13,0.14
1233,org.dbunit,dbunit,2.4.7,2.4.8
1240,org.subethamail,subethasmtp,3.1.6,3.1.7
1241,org.subethamail,subethasmtp,3.1.6,3.1.7
1246,org.apache.jackrabbit,jackrabbit-ocm,1.4,1.5.0
1248,org.apache.mina,mina-core,2.0.0-M6,2.0.0-RC1
1255,org.apache.jackrabbit,jackrabbit-core,2.1.1,2.1.2
1263,org.apache.directory.shared,shared-converter,0.9.13,0.9.14
1275,org.apache.jackrabbit,jackrabbit-core,2.1.1,2.1.2
1277,org.apache.mina,mina-core,2.0.0-M6,2.0.0-RC1
1278,org.hibernate,hibernate-core,3.3.1.GA,3.3.2.GA
1280,org.apache.tapestry,tapestry-ioc,5.2.2,5.2.4
1282,org.quartz-scheduler,quartz,2.0.1,2.0.2
1283,org.hibernate,hibernate-core,3.3.1.GA,3.3.2.GA
1295,org.hibernate,hibernate-core,3.3.1.GA,3.3.2.GA
1297,org.hibernate,hibernate-core,3.3.1.GA,3.3.2.GA
1298,org.apache.mina,mina-core,2.0.0-M6,2.0.0-RC1
1299,org.quartz-scheduler,quartz,2.0.1,2.0.2
1300,org.apache.tapestry,tapestry-ioc,5.2.2,5.2.4
1319,org.hibernate,hibernate-core,3.3.1.GA,3.3.2.GA
1322,org.hibernate,hibernate-core,3.3.1.GA,3.3.2.GA
1323,org.apache.mina,mina-core,2.0.0-M6,2.0.0-RC1
1361,ch.qos.logback,logback-classic,0.9.29,0.9.30
1421,org.apache.cxf,cxf-bundle-jaxrs,2.4.3,2.4.4
1433,org.apache.wicket,wicket-ioc,1.5.2,1.5.3
1437,org.apache.wicket,wicket-extensions,1.5.2,1.5.3
1445,org.apache.wicket,wicket-spring,1.5.2,1.5.3
1447,org.apache.wicket,wicket,1.5.2,1.5.3
1452,org.codehaus.btm,btm,2.1.2,2.1.3
1453,ch.qos.logback,logback-classic,0.9.30,1.0.0
1460,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3.1,0.3.2
1476,org.apache.directory.server,apacheds-service-builder,2.0.0-M3,2.0.0-M6
1487,org.hibernate,hibernate-core,3.6.7.Final,3.6.8.Final
1489,org.cometd.java,cometd-java-client,2.4.0.beta2,2.4.0.RC1
1490,ch.qos.logback,logback-classic,0.9.30,1.0.0
1491,org.cometd.java,cometd-java-client,2.4.0.beta2,2.4.0.RC1
1492,org.apache.mina,mina-core,2.0.5,2.0.6
1496,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3.1,0.3.2
1502,com.ning,async-http-client,1.7.6,1.7.7
1519,org.apache.cxf,cxf-bundle,2.6.6,2.6.7
1522,org.apache.cxf,cxf-rt-transports-http-jetty,2.6.6,2.6.7
1524,org.apache.cxf,cxf-rt-transports-http-jetty,2.7.3,2.7.4
1527,org.apache.aries.blueprint,org.apache.aries.blueprint,0.3.1,0.3.2
1534,ch.qos.logback,logback-classic,1.1.2,1.1.3
1536,org.cometd.java,cometd-java-client,2.4.0.beta2,2.4.0.RC1
1537,ch.qos.logback,logback-classic,1.1.2,1.1.3
1547,net.sf.ehcache,ehcache-core,2.0.0-beta,2.0.0
1548,org.codehaus.gmaven.runtime,gmaven-runtime-1.6,1.1,1.2
1559,ch.qos.logback,logback-classic,0.9.17,0.9.18
1580,org.ops4j.pax.url,pax-url-aether,1.4.0.RC1,1.4.0
1586,ch.qos.logback,logback-classic,0.9.17,0.9.18
1637,org.apache.wicket,wicket-extensions,1.5-M3,1.5-RC1
1651,org.apache.wicket,wicket-spring,1.5-M3,1.5-RC1
1655,org.apache.wicket,wicket,1.5-M3,1.5-RC1
1663,org.apache.wicket,wicket,1.4.17,1.4.18
1665,org.apache.wicket,wicket,1.4.8,1.4.9
1681,org.apache.mina,mina-core,2.0.1,2.0.2
1683,org.apache.wicket,wicket,1.4.14,1.4.15
1685,org.apache.aries.blueprint,org.apache.aries.blueprint,0.2-incubating,0.2.1
1686,org.apache.geronimo.components,geronimo-transaction,2.1.2,2.1.3
1688,net.sf.ehcache,ehcache-core,2.1.0-beta,2.1.0
1689,org.codehaus.gmaven.runtime,gmaven-runtime-1.6,1.1,1.2
1690,net.sf.ehcache,ehcache-core,2.1.0-beta,2.1.0
1691,org.apache.jackrabbit,jackrabbit-core,2.1.2,2.1.3
1692,org.quartz-scheduler,quartz,1.8.3,1.8.4
1703,org.apache.cxf,cxf-rt-transports-http-jetty,2.2.8,2.2.9
1706,org.apache.wicket,wicket-extensions,1.5-M3,1.5-RC1
